"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.002906","23,005","0.002977","24,760","0.000092","[-0.000773, +0.000956]","0.031540","[-26.602%, +32.91%]","0.835425","-","0.017064","0.000423","0.000002"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_nd","","mean","0.000000","110","0.000000","123","0.000000","[0, 0]","","[]","1.000000","-","0.000094","0.000000","0.000000"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_nd","","mean","0.010989","126","0.007353","106","-0.001508","[-0.024977, +0.02196]","-0.137272","[-227.2884%, +199.8339%]","0.899746","-","0.000092","0.000000","0.000000"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_nd","","mean","0.002873","22,826","0.002977","24,582","0.000123","[-0.000733, +0.000979]","0.042809","[-25.5045%, +34.0663%]","0.778177","-","0.016869","0.000561","0.000002"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_nd","","mean","0.002824","20,973","0.003257","19,951","0.000429","[-0.000544, +0.001402]","0.151942","[-19.2675%, +49.656%]","0.387505","-","0.013846","0.001603","0.000006"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_nd","","mean","0.003424","2,939","0.002084","6,041","-0.000668","[-0.002828, +0.001492]","-0.195036","[-82.5753%, +43.5682%]","0.544464","-","0.003429","-0.000565","-0.000002"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_nd","","mean","0.002828","5,964","0.003157","6,566","0.000329","[-0.001574, +0.002232]","0.116496","[-55.6484%, +78.9475%]","0.734400","-","0.003467","0.000310","0.000001"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_nd","","mean","0.002925","17,406","0.002930","18,632","0.000027","[-0.000943, +0.000997]","0.009240","[-32.2481%, +34.096%]","0.956462","-","0.013601","0.000000","0.000000"
"dbd_avg_o2_package","Metric","N/A","","mean","0.648574","23,005","0.669127","24,760","0.020573","[+0.012685, +0.02846]","0.031720","[+1.9558%, +4.3881%]","0.000000","Significant","0.017064","0.000515","0.000351"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_package","","mean","0.577640","110","0.664740","123","0.083566","[-0.021259, +0.188391]","0.144668","[-3.6803%, +32.6139%]","0.118176","-","0.000094","0.000011","0.000008"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_package","","mean","0.637363","126","0.610294","106","-0.026877","[-0.133238, +0.079485]","-0.042169","[-20.9046%, +12.4708%]","0.620411","-","0.000092","-0.000003","-0.000002"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_package","","mean","0.648968","22,826","0.669570","24,582","0.020589","[+0.012656, +0.028522]","0.031726","[+1.9502%, +4.3949%]","0.000000","Significant","0.016869","0.000510","0.000348"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_package","","mean","0.627682","5,964","0.654489","6,566","0.026806","[+0.010043, +0.04357]","0.042707","[+1.6%, +6.9414%]","0.001723","Significant","0.003467","0.000137","0.000093"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_package","","mean","0.653823","17,406","0.672931","18,632","0.019130","[+0.010249, +0.02801]","0.029258","[+1.5676%, +4.2841%]","0.000024","Significant","0.013601","0.000381","0.000260"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_package","","mean","0.617360","20,973","0.615322","19,951","-0.001984","[-0.010882, +0.006913]","-0.003214","[-1.7626%, +1.1198%]","0.662019","-","0.013846","-0.000040","-0.000027"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_package","","mean","0.845928","2,939","0.841255","6,041","-0.016518","[-0.032206, -0.000831]","-0.019527","[-3.8071%, -0.0983%]","0.039035","Significant","0.003429","-0.000076","-0.000052"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.618899","23,727","0.630749","25,529","0.011328","[+0.003338, +0.019318]","0.018303","[+0.5393%, +3.1213%]","0.005456","Significant","0.017217","0.000301","0.000195"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_sdb","","mean","0.569697","112","0.609890","129","0.049215","[-0.056611, +0.155041]","0.086388","[-9.937%, +27.2146%]","0.362035","-","0.000095","0.000007","0.000004"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_sdb","","mean","0.598959","131","0.541667","111","-0.053936","[-0.164004, +0.056132]","-0.090050","[-27.3816%, +9.3716%]","0.336840","-","0.000095","-0.000007","-0.000005"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_sdb","","mean","0.619282","23,541","0.631425","25,345","0.011629","[+0.003609, +0.019649]","0.018779","[+0.5828%, +3.1729%]","0.004484","Significant","0.017019","0.000306","0.000198"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.602271","21,652","0.598426","20,628","-0.003827","[-0.012619, +0.004965]","-0.006354","[-2.0952%, +0.8244%]","0.393576","-","0.013997","-0.000082","-0.000053"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.725332","3,017","0.735436","6,192","-0.008975","[-0.02926, +0.01131]","-0.012374","[-4.0341%, +1.5593%]","0.385852","-","0.003434","-0.000043","-0.000028"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.627844","6,200","0.635540","6,835","0.007703","[-0.008944, +0.024349]","0.012269","[-1.4245%, +3.8782%]","0.364443","-","0.003526","0.000042","0.000027"
