"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","config_no_dsml Value","config_no_dsml Exposure Volume","config_no_dsml Absolute Impact","config_no_dsml Absolute Impact Confidence Interval","config_no_dsml Relative Impact","config_no_dsml Relative Impact Confidence Interval","config_no_dsml P Value","config_no_dsml Significance","config_no_dsml Coverage","config_no_dsml Relative Global Lift","config_no_dsml Absolute Global Lift"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_package","","mean","0.656746","199,512","0.659009","202,931","0.002240","[-0.000435, +0.004915]","0.003411","[-0.0662%, +0.7485%]","0.100702","-","0.205146","0.000656","0.000460"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_package","","mean","0.708299","30,378","0.713246","30,523","0.004673","[-0.002063, +0.011409]","0.006597","[-0.2913%, +1.6107%]","0.173937","-","0.029450","0.000198","0.000138"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_package","","mean","0.712004","729,259","0.713841","733,690","0.001853","[+0.000507, +0.003198]","0.002602","[+0.0712%, +0.4492%]","0.006962","Significant","0.714075","0.001888","0.001323"
"dbd_avg_o2_sdb","Metric","N/A","","mean","0.683314","974,256","0.684345","982,625","0.001052","[-0.000142, +0.002245]","0.001539","[-0.0207%, +0.3285%]","0.084133","-","0.950265","0.001461","0.000999"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.657024","807,738","0.658329","817,024","0.001325","[-0.000025, +0.002675]","0.002016","[-0.0039%, +0.4071%]","0.054456","-","0.749460","0.001452","0.000993"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_sdb","","mean","0.780737","214,300","0.781955","213,652","0.001122","[-0.001287, +0.003531]","0.001437","[-0.1648%, +0.4522%]","0.361378","-","0.200782","0.000330","0.000226"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_sdb","","mean","0.651981","203,225","0.653648","206,860","0.001692","[-0.00096, +0.004345]","0.002596","[-0.1473%, +0.6664%]","0.211141","-","0.205014","0.000508","0.000347"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_sdb","","mean","0.693375","30,944","0.694949","31,194","0.001286","[-0.005454, +0.008026]","0.001855","[-0.7866%, +1.1575%]","0.708416","-","0.029418","0.000056","0.000038"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_sdb","","mean","0.691778","743,916","0.692648","748,351","0.000895","[-0.000465, +0.002254]","0.001293","[-0.0672%, +0.3259%]","0.197048","-","0.714148","0.000935","0.000639"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.680782","173,987","0.682415","174,247","0.001628","[-0.001475, +0.004732]","0.002392","[-0.2167%, +0.695%]","0.303818","-","0.125286","0.000299","0.000204"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_sdb","","mean","0.683700","810,408","0.684637","818,557","0.000923","[-0.000367, +0.002213]","0.001350","[-0.0537%, +0.3237%]","0.160939","-","0.825158","0.001114","0.000762"
"dbd_avg_o2_subtotal_1pc","Metric","N/A","","mean","12.066580","27,750","12.079936","28,348","0.022680","[-0.170638, +0.215998]","0.001880","[-1.4141%, +1.79%]","0.818138","-","0.953336","0.001797","0.021627"
"dbd_avg_o2_subtotal_3pc","Metric","N/A","","mean","11.144649","236,573","11.177092","245,415","0.030298","[-0.026828, +0.087424]","0.002719","[-0.2407%, +0.7845%]","0.298568","-","0.952630","0.002593","0.028868"
"dbd_avg_o2_subtotal_alc","Metric","N/A","","mean","20.977927","39,870","21.118320","39,557","0.146535","[-0.117423, +0.410493]","0.006985","[-0.5597%, +1.9568%]","0.276566","-","0.945718","0.006629","0.138639"
"dbd_avg_o2_subtotal_flowers","Metric","N/A","","mean","33.057067","75","29.089993","58","-3.967073","[-11.165854, +3.231707]","-0.120007","[-33.7775%, +9.7761%]","0.280103","-","0.927666","-0.113886","-3.689012"
"dbd_avg_o2_subtotal_grocery","Metric","N/A","","mean","18.736914","82,954","19.026509","87,270","0.289391","[+0.092538, +0.486244]","0.015445","[+0.4939%, +2.5951%]","0.003960","Significant","0.946277","0.014609","0.273906"
"dbd_avg_o2_subtotal_nv","Metric","N/A","","mean","14.169070","392,528","14.244390","405,907","0.074809","[+0.007941, +0.141678]","0.005280","[+0.056%, +0.9999%]","0.028328","Significant","0.952004","0.005033","0.071235"
"dbd_avg_o2_subtotal_pets","Metric","N/A","","mean","31.375749","2,629","30.282088","2,666","-1.186394","[-2.678022, +0.305234]","-0.037812","[-8.5353%, +0.9728%]","0.119022","-","0.956565","-0.036347","-1.134859"
"dbd_avg_o2_subtotal_rx","Metric","N/A","","mean","13.014622","651,241","13.014894","647,517","0.000420","[-0.034833, +0.035673]","0.000032","[-0.2676%, +0.2741%]","0.981360","-","0.949242","0.000031","0.000399"
"dbd_avg_o2_vp_1pc","Metric","N/A","","mean","-14.142000","27,749","-14.082231","28,346","0.060541","[-0.176251, +0.297333]","-0.004281","[+1.2463%, -2.1025%]","0.616296","-","0.953321","-0.004046","0.057729"
"dbd_avg_o2_vp_3pc","Metric","N/A","","mean","-0.544212","236,571","-0.540487","245,412","0.004360","[-0.017396, +0.026117]","-0.008012","[+3.1966%, -4.7991%]","0.694458","-","0.952627","-0.007581","0.004155"
"dbd_avg_o2_vp_alc","Metric","N/A","","mean","-0.329588","39,870","-0.251031","39,557","0.070273","[-0.031526, +0.172072]","-0.213215","[+9.5652%, -52.2082%]","0.176058","-","0.945718","-0.179988","0.066487"
"dbd_avg_o2_vp_flowers","Metric","N/A","","mean","1.014843","75","0.120052","58","-0.894792","[-4.3354, +2.545817]","-0.881704","[-427.1989%, +250.858%]","0.610245","-","0.927666","-0.763485","-0.832074"
"dbd_avg_o2_vp_grocery","Metric","N/A","","mean","-2.431691","104,520","-2.410400","109,582","0.017298","[-0.037156, +0.071752]","-0.007114","[+1.528%, -2.9507%]","0.533542","-","0.952565","-0.006761","0.016482"
"dbd_avg_o2_vp_nv","Metric","N/A","","mean","-1.866922","392,520","-1.848001","405,899","0.017860","[-0.011837, +0.047557]","-0.009567","[+0.634%, -2.5474%]","0.238493","-","0.952001","-0.009048","0.017007"
"dbd_avg_o2_vp_pets","Metric","N/A","","mean","-0.174082","2,629","-0.474173","2,666","-0.306035","[-0.705211, +0.093141]","1.757995","[+405.1032%, -53.5042%]","0.132932","-","0.956565","3.421822","-0.292741"
