"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.903349","23,727","0.902025","25,529","-0.001570","[-0.006357, +0.003218]","-0.001737","[-0.7037%, +0.3562%]","0.520512","-","0.017217","-0.000030","-0.000027"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.902662","21,652","0.900905","20,628","-0.001852","[-0.007187, +0.003484]","-0.002051","[-0.7962%, +0.3859%]","0.496399","-","0.013997","-0.000028","-0.000026"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.906784","3,017","0.905395","6,192","-0.002658","[-0.014016, +0.008699]","-0.002932","[-1.5457%, +0.9594%]","0.646419","-","0.003434","-0.000009","-0.000008"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.933334","112","0.906593","129","-0.021616","[-0.080153, +0.036921]","-0.023160","[-8.5878%, +3.9558%]","0.469215","-","0.000095","-0.000002","-0.000002"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.911458","131","0.854167","111","-0.057245","[-0.128901, +0.014411]","-0.062806","[-14.1423%, +1.5811%]","0.117396","-","0.000095","-0.000005","-0.000005"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.902972","23,541","0.902127","25,345","-0.001024","[-0.005848, +0.0038]","-0.001134","[-0.6477%, +0.4209%]","0.677429","-","0.017019","-0.000019","-0.000017"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.903261","6,200","0.903885","6,835","0.000632","[-0.009806, +0.01107]","0.000700","[-1.0856%, +1.2256%]","0.905488","-","0.003526","0.000002","0.000002"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.903211","17,903","0.901461","19,143","-0.001927","[-0.00731, +0.003457]","-0.002133","[-0.8093%, +0.3827%]","0.483008","-","0.013691","-0.000029","-0.000026"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.015027","23,012","0.014512","24,766","-0.000467","[-0.002396, +0.001462]","-0.031105","[-15.9478%, +9.7269%]","0.634861","-","0.017065","-0.000506","-0.000008"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_mi","","mean","0.011311","5,965","0.009170","6,567","-0.002141","[-0.005661, +0.00138]","-0.189250","[-50.0523%, +12.2023%]","0.233405","-","0.003467","-0.000473","-0.000007"
