"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_cx_segment_existing_purchased_l90d","Dimension","dbd_o2_gmv","","mean","9.514741","385,957","9.656269","448,566","0.141528","[-0.038299, +0.321355]","0.014875","[-0.4025%, +3.3774%]","0.122943","-","0.170910","0.002542","0.062737","9.556556","373,008","0.041815","[-0.142064, +0.225694]","0.004395","[-1.4931%, +2.372%]","0.655809","-","0.170910","0.000751","0.018536"
"dbd_o2_post_checkout_aov","Metric","N/A","","mean","22.666456","533,263","22.783289","519,214","0.124976","[+0.060062, +0.18989]","0.005514","[+0.265%, +0.8378%]","0.000161","Significant","0.733059","0.004021","0.091582","22.715657","518,113","0.051479","[-0.014327, +0.117285]","0.002271","[-0.0632%, +0.5174%]","0.125213","-","0.733059","0.001658","0.037757"
"dbd_o2_post_checkout_gmv","Metric","N/A","","mean","2.830516","5,625,075","2.852992","5,454,365","0.023531","[+0.00941, +0.037652]","0.008313","[+0.3325%, +1.3302%]","0.001090","Significant","0.729195","0.006062","0.142820","2.847978","5,454,115","0.018403","[+0.004165, +0.032642]","0.006502","[+0.1471%, +1.1532%]","0.011300","Significant","0.729195","0.004741","0.111699"
"dbd_o2_pre_checkout_aov","Metric","N/A","","mean","16.716955","199,490","16.671587","194,364","-0.046544","[-0.128201, +0.035113]","-0.002784","[-0.7669%, +0.21%]","0.263920","-","0.831306","-0.002270","-0.038680","16.681850","192,855","-0.036069","[-0.116889, +0.044752]","-0.002158","[-0.6992%, +0.2677%]","0.381743","-","0.831306","-0.001759","-0.029978"
"dbd_o2_pre_checkout_gmv","Metric","N/A","","mean","0.823958","5,625,075","0.824082","5,454,365","0.001922","[-0.00495, +0.008795]","0.002333","[-0.6008%, +1.0674%]","0.583559","-","0.815378","0.001902","0.011667","0.818889","5,454,115","-0.003273","[-0.010135, +0.003588]","-0.003973","[-1.23%, +0.4355%]","0.349780","-","0.815378","-0.003239","-0.019867"
"dbd_o2_subtotal","Metric","N/A","","mean","14.782263","686,096","14.840650","668,499","0.064333","[+0.01823, +0.110436]","0.004352","[+0.1233%, +0.7471%]","0.006238","Significant","0.758428","0.003283","0.048768","14.805152","665,638","0.024017","[-0.022559, +0.070593]","0.001625","[-0.1526%, +0.4776%]","0.312180","-","0.758428","0.001227","0.018220"
"dbd_cx_segment_NULL","Dimension","dbd_o2_subtotal","","mean","16.546669","3,454","15.177882","6,175","-1.368787","[-2.074993, -0.662581]","-0.082723","[-12.5402%, -4.0043%]","0.000145","Significant","0.004142","-0.000483","-0.005461","16.107034","3,432","-0.439636","[-1.220522, +0.34125]","-0.026569","[-7.3762%, +2.0624%]","0.269831","-","0.004142","-0.000165","-0.001862"
"dbd_cx_segment_did_not_purchase_l180d","Dimension","dbd_o2_subtotal","","mean","40.538459","175,153","42.023148","194,537","1.484689","[+1.117692, +1.851686]","0.036624","[+2.7571%, +4.5677%]","0.000000","Significant","0.143424","0.018932","0.213964","40.471242","170,105","-0.067217","[-0.443341, +0.308907]","-0.001658","[-1.0936%, +0.762%]","0.726141","-","0.143424","-0.000852","-0.009632"
"dbd_cx_segment_existing_purchased_l120d","Dimension","dbd_o2_subtotal","","mean","47.244590","32,507","48.267411","36,934","1.022820","[+0.077495, +1.968146]","0.021649","[+0.164%, +4.1659%]","0.033953","Significant","0.027662","0.002541","0.028722","47.404198","31,336","0.159607","[-0.825411, +1.144626]","0.003378","[-1.7471%, +2.4228%]","0.750802","-","0.027662","0.000392","0.004435"
"dbd_cx_segment_existing_purchased_l180d","Dimension","dbd_o2_subtotal","","mean","48.078942","35,736","50.681193","40,098","2.602251","[+1.668323, +3.536179]","0.054125","[+3.47%, +7.3549%]","0.000000","Significant","0.029986","0.006966","0.078730","48.297703","34,562","0.218760","[-0.708441, +1.145962]","0.004550","[-1.4735%, +2.3835%]","0.643775","-","0.029986","0.000581","0.006563"
"dbd_cx_segment_existing_purchased_l30d","Dimension","dbd_o2_subtotal","","mean","103.734072","534,085","112.035333","627,106","5.013881","[+4.504946, +5.522817]","0.048334","[+4.3428%, +5.324%]","0.000000","Significant","0.586701","0.266259","3.009218","104.045723","517,349","0.346358","[-0.172816, +0.865533]","0.003339","[-0.1666%, +0.8344%]","0.191024","-","0.586701","0.017991","0.203330"
