"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment_a Value","treatment_a Exposure Volume","treatment_a Absolute Impact","treatment_a Absolute Impact Confidence Interval","treatment_a Relative Impact","treatment_a Relative Impact Confidence Interval","treatment_a P Value","treatment_a Significance","treatment_a Coverage","treatment_a Relative Global Lift","treatment_a Absolute Global Lift","treatment_b Value","treatment_b Exposure Volume","treatment_b Absolute Impact","treatment_b Absolute Impact Confidence Interval","treatment_b Relative Impact","treatment_b Relative Impact Confidence Interval","treatment_b P Value","treatment_b Significance","treatment_b Coverage","treatment_b Relative Global Lift","treatment_b Absolute Global Lift"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.924835","2,386","0.921807","2,342","-0.003185","[-0.016713, +0.010344]","-0.003443","[-1.8072%, +1.1185%]","0.644544","-","0.002025","-0.000007","-0.000007","0.922031","2,445","-0.002959","[-0.016167, +0.010248]","-0.003200","[-1.7481%, +1.1081%]","0.660527","-","0.002025","-0.000007","-0.000006"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.911988","417,290","0.912084","406,506","0.000101","[-0.001127, +0.001328]","0.000111","[-0.1236%, +0.1457%]","0.872150","-","0.370953","0.000041","0.000037","0.912477","406,700","0.000481","[-0.000697, +0.001659]","0.000528","[-0.0764%, +0.1819%]","0.423303","-","0.370953","0.000197","0.000179"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.917767","68,588","0.916438","66,868","-0.001340","[-0.004467, +0.001787]","-0.001460","[-0.4867%, +0.1947%]","0.400990","-","0.043397","-0.000064","-0.000058","0.917037","67,011","-0.000737","[-0.003861, +0.002386]","-0.000804","[-0.4207%, +0.26%]","0.643572","-","0.043397","-0.000035","-0.000032"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.911242","356,222","0.911424","347,163","0.000189","[-0.001086, +0.001464]","0.000207","[-0.1192%, +0.1607%]","0.771511","-","0.332068","0.000069","0.000063","0.911776","347,360","0.000526","[-0.000707, +0.001759]","0.000577","[-0.0776%, +0.193%]","0.402974","-","0.332068","0.000193","0.000175"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.016512","413,060","0.016354","402,487","-0.000160","[-0.000635, +0.000315]","-0.009669","[-3.8436%, +1.9097%]","0.510016","-","0.375759","-0.003768","-0.000060","0.016382","402,805","-0.000128","[-0.000603, +0.000346]","-0.007778","[-3.6508%, +2.0951%]","0.595664","-","0.375759","-0.003031","-0.000048"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.016252","379,539","0.016284","369,833","0.000032","[-0.000477, +0.00054]","0.001963","[-2.9328%, +3.3253%]","0.902145","-","0.320431","0.000642","0.000010","0.016331","370,089","0.000077","[-0.000431, +0.000585]","0.004749","[-2.6496%, +3.5994%]","0.765782","-","0.320431","0.001554","0.000025"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.018021","58,372","0.016757","57,012","-0.001254","[-0.00253, +0.000021]","-0.069599","[-14.0389%, +0.1192%]","0.053984","-","0.055368","-0.004355","-0.000069","0.016680","56,991","-0.001326","[-0.002604, -0.000047]","-0.073579","[-14.4524%, -0.2634%]","0.042080","Significant","0.055368","-0.004595","-0.000073"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_mi","","mean","0.012093","66,793","0.012294","65,173","0.000201","[-0.000977, +0.001379]","0.016653","[-8.0762%, +11.4068%]","0.737587","-","0.043121","0.000545","0.000009","0.011821","65,254","-0.000272","[-0.001439, +0.000895]","-0.022487","[-11.9003%, +7.4029%]","0.647923","-","0.043121","-0.000736","-0.000012"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.017084","350,667","0.016880","341,681","-0.000205","[-0.00072, +0.000309]","-0.012024","[-4.2118%, +1.8071%]","0.433580","-","0.332666","-0.004292","-0.000068","0.016973","342,005","-0.000109","[-0.000622, +0.000405]","-0.006365","[-3.6436%, +2.3706%]","0.678238","-","0.332666","-0.002272","-0.000036"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.024511","2,282","0.026623","2,338","0.002102","[-0.005426, +0.009631]","0.085770","[-22.1376%, +39.2915%]","0.584162","-","0.002275","0.000315","0.000005","0.029169","2,396","0.004658","[-0.003013, +0.012329]","0.190017","[-12.2937%, +50.2972%]","0.234033","-","0.002275","0.000672","0.000011"
