"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","Treatment A Value","Treatment A Exposure Volume","Treatment A Absolute Impact","Treatment A Absolute Impact Confidence Interval","Treatment A Relative Impact","Treatment A Relative Impact Confidence Interval","Treatment A P Value","Treatment A Significance","Treatment A Coverage","Treatment A Relative Global Lift","Treatment A Absolute Global Lift","Treatment B Value","Treatment B Exposure Volume","Treatment B Absolute Impact","Treatment B Absolute Impact Confidence Interval","Treatment B Relative Impact","Treatment B Relative Impact Confidence Interval","Treatment B P Value","Treatment B Significance","Treatment B Coverage","Treatment B Relative Global Lift","Treatment B Absolute Global Lift"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_page_load_latency_ios","","mean","0.020888","4,970,656","0.019866","7,743,850","-0.000689","[-0.000771, -0.000608]","-0.033008","[-3.6907%, -2.9109%]","0.000000","Significant","0.028107","-0.000607","-0.000027","0.020904","4,819,675","0.000014","[-0.00008, +0.000109]","0.000693","[-0.3818%, +0.5204%]","0.763343","-","0.028107","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_page_load_latency_ios","","mean","0.016101","2,296,948","0.015532","3,853,286","-0.000537","[-0.00066, -0.000413]","-0.033323","[-4.0995%, -2.565%]","0.000000","Significant","0.010014","-0.000155","-0.000007","0.016160","2,221,475","0.000060","[-0.000085, +0.000206]","0.003744","[-0.5287%, +1.2776%]","0.416446","-","0.010014","0.000000","0.000000"
"page_dimension_cx_store_page","Dimension","cx_app_quality_page_load_latency_ios","","mean","0.009337","3,491,244","0.008770","5,542,711","-0.000702","[-0.000753, -0.000652]","-0.075206","[-8.0605%, -6.9808%]","0.000000","Significant","0.050258","-0.001107","-0.000049","0.009353","3,385,856","0.000016","[-0.000043, +0.000076]","0.001736","[-0.4644%, +0.8116%]","0.593818","-","0.050258","0.000000","0.000000"
"cx_app_quality_page_load_latency_web","Metric","N/A","","mean","0.055561","120,382","0.055570","116,237","-0.000023","[-0.00114, +0.001094]","-0.000408","[-2.0512%, +1.9695%]","0.968255","-","0.125208","-0.000038","-0.000003","0.055938","116,836","0.000327","[-0.000788, +0.001442]","0.005890","[-1.4176%, +2.5957%]","0.565071","-","0.125208","0.000551","0.000041"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_page_load_latency_web","","mean","0.013178","49,858","0.013029","80,690","-0.000142","[-0.001161, +0.000877]","-0.010795","[-8.8139%, +6.6549%]","0.784426","-","0.020624","-0.000042","-0.000003","0.013301","48,527","0.000122","[-0.001043, +0.001286]","0.009237","[-7.9129%, +9.7603%]","0.837669","-","0.020624","0.000034","0.000003"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_page_load_latency_web","","mean","0.131420","64,286","0.134139","102,663","0.002529","[-0.000315, +0.005374]","0.019246","[-0.2396%, +4.0889%]","0.081335","-","0.024062","0.000885","0.000066","0.132602","62,464","0.001178","[-0.002025, +0.00438]","0.008960","[-1.5405%, +3.3325%]","0.471062","-","0.024062","0.000384","0.000029"
"page_dimension_cx_item_page","Dimension","cx_app_quality_page_load_latency_web","","mean","0.041800","29,112","0.041391","48,221","-0.000267","[-0.002549, +0.002015]","-0.006390","[-6.0976%, +4.8197%]","0.818535","-","0.007536","-0.000028","-0.000002","0.043034","28,554","0.001251","[-0.001308, +0.003809]","0.029921","[-3.1287%, +9.1129%]","0.338004","-","0.007536","0.000127","0.000009"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_page_load_latency_web","","mean","0.011145","19,529","0.011723","31,181","0.000680","[-0.000896, +0.002257]","0.061036","[-8.0411%, +20.2483%]","0.397695","-","0.005073","0.000050","0.000004","0.011329","18,827","0.000172","[-0.001451, +0.001796]","0.015472","[-13.0201%, +16.1145%]","0.835097","-","0.005073","0.000000","0.000000"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_page_load_latency_web","","mean","0.126135","4,609","0.124489","7,747","-0.000795","[-0.012809, +0.011219]","-0.006303","[-10.1553%, +8.8947%]","0.896805","-","0.000790","0.000000","0.000000","0.127536","4,424","0.001654","[-0.011621, +0.014929]","0.013111","[-9.2133%, +11.8355%]","0.807101","-","0.000790","0.000018","0.000001"
"page_dimension_cx_store_page","Dimension","cx_app_quality_page_load_latency_web","","mean","0.024552","50,754","0.023799","81,572","-0.000679","[-0.001909, +0.00055]","-0.027670","[-7.7754%, +2.2415%]","0.278894","-","0.027956","-0.000273","-0.000020","0.024624","49,086","0.000073","[-0.001309, +0.001454]","0.002961","[-5.3297%, +5.9219%]","0.917837","-","0.027956","0.000028","0.000002"
"cx_app_quality_tbt_web","Metric","N/A","","mean","0.110049","172,665","0.109400","167,000","-0.000932","[-0.003207, +0.001343]","-0.008470","[-2.914%, +1.2201%]","0.421937","-","0.097540","-0.000515","-0.000091","0.109982","168,123","-0.000596","[-0.002862, +0.00167]","-0.005415","[-2.6005%, +1.5175%]","0.606221","-","0.097540","-0.000332","-0.000059"
"page_dimension_cx_checkout_page","Dimension","cx_app_quality_tbt_web","","mean","0.039638","70,789","0.040274","115,270","0.000646","[-0.001493, +0.002785]","0.016306","[-3.7656%, +7.0269%]","0.553676","-","0.009908","0.000038","0.000007","0.040734","69,197","0.001092","[-0.001315, +0.003498]","0.027539","[-3.317%, +8.8247%]","0.373958","-","0.009908","0.000061","0.000011"
"page_dimension_cx_explore_page","Dimension","cx_app_quality_tbt_web","","mean","0.122728","102,016","0.127839","165,035","0.003520","[+0.000483, +0.006557]","0.028682","[+0.3938%, +5.3427%]","0.023096","Significant","0.017855","0.000376","0.000067","0.123620","99,500","0.001035","[-0.002328, +0.004399]","0.008435","[-1.8969%, +3.584%]","0.546315","-","0.017855","0.000105","0.000019"
"page_dimension_cx_post_checkout_page","Dimension","cx_app_quality_tbt_web","","mean","0.236578","74,351","0.238564","119,600","0.001134","[-0.004832, +0.0071]","0.004794","[-2.0424%, +3.0012%]","0.709460","-","0.010666","0.000073","0.000013","0.235727","72,934","-0.000717","[-0.006891, +0.005458]","-0.003030","[-2.9129%, +2.3069%]","0.820017","-","0.010666","-0.000044","-0.000008"
"page_dimension_cx_search_result_page","Dimension","cx_app_quality_tbt_web","","mean","0.061143","32,728","0.062055","54,571","0.001080","[-0.00218, +0.004339]","0.017662","[-3.5649%, +7.0972%]","0.516122","-","0.003756","0.000024","0.000004","0.061475","32,226","0.000372","[-0.003289, +0.004032]","0.006080","[-5.379%, +6.595%]","0.842228","-","0.003756","0.000008","0.000001"
"page_dimension_cx_store_page","Dimension","cx_app_quality_tbt_web","","mean","0.074325","81,610","0.075908","131,566","0.000249","[-0.002791, +0.003289]","0.003348","[-3.7553%, +4.4248%]","0.872554","-","0.020475","0.000031","0.000005","0.076289","79,708","0.002248","[-0.001215, +0.005711]","0.030247","[-1.6341%, +7.6835%]","0.203195","-","0.020475","0.000261","0.000046"
"dashpass_paid_balance","Metric","N/A","","mean","0.363207","6,972,158","0.363245","6,764,391","0.000013","[-0.000233, +0.000258]","0.000034","[-0.064%, +0.0709%]","0.920386","-","0.407263","0.000014","0.000006","0.363343","6,761,916","0.000078","[-0.000166, +0.000323]","0.000216","[-0.0458%, +0.089%]","0.530202","-","0.407263","0.000088","0.000040"
"dashpass_signup","Metric","N/A","","mean","0.036458","6,972,158","0.036505","6,764,391","0.000047","[-0.000155, +0.000248]","0.001277","[-0.4256%, +0.6809%]","0.651052","-","0.384903","0.000491","0.000474","0.036468","6,761,916","0.000010","[-0.000192, +0.000211]","0.000267","[-0.5265%, +0.5799%]","0.924645","-","0.384903","0.000103","0.000099"
"dbd_attach_rate_post_checkout","Metric","N/A","","mean","0.030139","6,804,065","0.030457","6,599,972","0.000320","[+0.000194, +0.000446]","0.010621","[+0.6448%, +1.4793%]","0.000001","Significant","0.608056","0.006332","0.000195","0.030376","6,599,027","0.000236","[+0.00011, +0.000361]","0.007818","[+0.3648%, +1.1988%]","0.000238","Significant","0.608056","0.004663","0.000143"
"dbd_attach_rate_pre_and_post","Metric","N/A","","mean","0.038422","6,804,065","0.038774","6,599,972","0.000358","[+0.000202, +0.000514]","0.009316","[+0.5253%, +1.3379%]","0.000007","Significant","0.608056","0.005231","0.000218","0.038667","6,599,027","0.000243","[+0.000087, +0.000398]","0.006318","[+0.2266%, +1.0369%]","0.002244","Significant","0.608056","0.003548","0.000148"
"dbd_attach_rate_pre_checkout","Metric","N/A","","mean","0.008283","6,804,065","0.008317","6,599,972","0.000037","[-0.000044, +0.000119]","0.004525","[-0.5352%, +1.4402%]","0.369200","-","0.608056","0.002097","0.000023","0.008290","6,599,027","0.000007","[-0.000074, +0.000088]","0.000845","[-0.897%, +1.066%]","0.866003","-","0.608056","0.000392","0.000004"
"dbd_avg_o2_20_late","Metric","N/A","","mean","0.037398","670,578","0.037532","656,819","0.000133","[-0.000412, +0.000679]","0.003567","[-1.1009%, +1.8144%]","0.631487","-","0.562955","0.001992","0.000075","0.037483","655,543","0.000084","[-0.000461, +0.000629]","0.002254","[-1.2315%, +1.6824%]","0.761691","-","0.562955","0.001259","0.000047"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.045152","85,421","0.041769","138,655","-0.003383","[-0.005125, -0.00164]","-0.074915","[-11.3506%, -3.6324%]","0.000142","Significant","0.052887","-0.003879","-0.000179","0.044387","83,901","-0.000765","[-0.002732, +0.001202]","-0.016947","[-6.0511%, +2.6617%]","0.445793","-","0.052887","-0.000877","-0.000040"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_20_late","","mean","0.045520","286,289","0.044439","641,787","-0.001059","[-0.001845, -0.000274]","-0.023272","[-4.0522%, -0.6022%]","0.008190","Significant","0.283285","-0.007241","-0.000334","0.045057","280,175","-0.000463","[-0.001411, +0.000484]","-0.010174","[-3.099%, +1.0642%]","0.338089","-","0.283285","-0.002843","-0.000131"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_20_late","","mean","0.037417","3,450","0.042909","6,215","0.005492","[-0.001017, +0.012002]","0.146790","[-2.7192%, +32.0771%]","0.098202","-","0.003570","0.000434","0.000020","0.038548","3,341","0.001132","[-0.006309, +0.008572]","0.030247","[-16.8612%, +22.9105%]","0.765617","-","0.003570","0.000087","0.000004"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_20_late","","mean","0.038026","4,058","0.040635","7,204","0.002591","[-0.004034, +0.009216]","0.068136","[-10.6091%, +24.2364%]","0.443382","-","0.003438","0.000202","0.000009","0.035860","3,931","-0.002179","[-0.009495, +0.005137]","-0.057301","[-24.9707%, +13.5105%]","0.559419","-","0.003438","-0.000167","-0.000008"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_20_late","","mean","0.045629","360,401","0.044152","760,147","-0.001463","[-0.002186, -0.000739]","-0.032055","[-4.7914%, -1.6197%]","0.000074","Significant","0.326373","-0.011415","-0.000527","0.045137","353,018","-0.000492","[-0.001358, +0.000374]","-0.010779","[-2.9762%, +0.8204%]","0.265751","-","0.326373","-0.003478","-0.000161"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.045662","310,991","0.043934","663,329","-0.001841","[-0.002641, -0.00104]","-0.040308","[-5.7841%, -2.2776%]","0.000007","Significant","0.262509","-0.011539","-0.000532","0.045193","304,622","-0.000469","[-0.001428, +0.00049]","-0.010269","[-3.1274%, +1.0736%]","0.337964","-","0.262509","-0.002668","-0.000123"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_20_late","","mean","0.044702","75,231","0.044794","163,432","0.000512","[-0.001048, +0.002072]","0.011460","[-2.3438%, +4.6357%]","0.519828","-","0.073391","0.000902","0.000042","0.044011","73,464","-0.000676","[-0.002528, +0.001176]","-0.015121","[-5.6547%, +2.6304%]","0.474338","-","0.073391","-0.001076","-0.000050"
"dbd_avg_o2_cancellations","Metric","N/A","","mean","0.022181","682,693","0.022149","668,742","-0.000037","[-0.000454, +0.00038]","-0.001676","[-2.0488%, +1.7137%]","0.861420","-","0.563112","-0.000954","-0.000021","0.022335","667,434","0.000152","[-0.000267, +0.000571]","0.006843","[-1.2057%, +2.5743%]","0.477942","-","0.563112","0.003896","0.000085"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_cancellations","","mean","0.018538","3,497","0.018229","6,306","-0.000291","[-0.004811, +0.004229]","-0.015685","[-25.9505%, +22.8135%]","0.899664","-","0.003560","-0.000048","-0.000001","0.020806","3,388","0.002290","[-0.003061, +0.007641]","0.123538","[-16.5108%, +41.2184%]","0.401555","-","0.003560","0.000366","0.000008"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_cancellations","","mean","0.017298","4,121","0.020627","7,337","0.003433","[-0.001017, +0.007883]","0.198468","[-5.8776%, +45.5711%]","0.130497","-","0.003433","0.000559","0.000012","0.021265","4,001","0.004057","[-0.001271, +0.009385]","0.234511","[-7.3494%, +54.2517%]","0.135623","-","0.003433","0.000652","0.000014"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_cancellations","","mean","0.023441","367,700","0.022216","774,119","-0.000796","[-0.001313, -0.000279]","-0.033955","[-5.6003%, -1.1908%]","0.002540","Significant","0.326611","-0.013015","-0.000287","0.023613","360,225","0.000171","[-0.00045, +0.000793]","0.007306","[-1.9206%, +3.3818%]","0.589123","-","0.326611","0.002537","0.000056"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.024495","317,793","0.023134","676,557","-0.000944","[-0.001527, -0.000361]","-0.038530","[-6.2326%, -1.4734%]","0.001506","Significant","0.262973","-0.012407","-0.000274","0.024980","311,374","0.000486","[-0.00022, +0.001191]","0.019826","[-0.8975%, +4.8627%]","0.177279","-","0.262973","0.005793","0.000128"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_cancellations","","mean","0.019059","76,395","0.018652","165,918","-0.000242","[-0.001276, +0.000792]","-0.012700","[-6.6931%, +4.1532%]","0.646250","-","0.073173","-0.000889","-0.000020","0.018342","74,580","-0.000712","[-0.001916, +0.000492]","-0.037342","[-10.0507%, +2.5823%]","0.246582","-","0.073173","-0.002363","-0.000052"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.030136","87,795","0.030948","142,641","0.000813","[-0.000632, +0.002258]","0.026984","[-2.0967%, +7.4935%]","0.270044","-","0.053378","0.001970","0.000043","0.031239","86,340","0.001103","[-0.000517, +0.002722]","0.036596","[-1.715%, +9.0341%]","0.182021","-","0.053378","0.002671","0.000059"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_cancellations","","mean","0.021818","291,376","0.020964","652,134","-0.000541","[-0.001085, +0.000002]","-0.024812","[-4.9723%, +0.0099%]","0.050913","-","0.283028","-0.007742","-0.000171","0.021846","285,119","0.000027","[-0.00063, +0.000684]","0.001223","[-2.8896%, +3.1341%]","0.936592","-","0.283028","0.000342","0.000008"
"dbd_avg_o2_dx_cost","Metric","N/A","","mean","4.085775","683,869","4.088115","669,940","0.003336","[-0.008457, +0.01513]","0.000817","[-0.207%, +0.3703%]","0.579237","-","0.563267","0.000464","0.001878","4.071490","668,634","-0.013074","[-0.024706, -0.001441]","-0.003200","[-0.6047%, -0.0353%]","0.027614","Significant","0.563267","-0.001818","-0.007359"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_dx_cost","","mean","4.029923","3,500","4.064518","6,312","0.036742","[-0.087217, +0.160701]","0.009117","[-2.1642%, +3.9877%]","0.561280","-","0.003559","0.000033","0.000133","3.952215","3,395","-0.076861","[-0.215547, +0.061825]","-0.019073","[-5.3487%, +1.5342%]","0.277378","-","0.003559","-0.000068","-0.000271"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_dx_cost","","mean","4.186603","4,127","4.197261","7,348","0.010642","[-0.126608, +0.147891]","0.002542","[-3.0241%, +3.5325%]","0.879213","-","0.003433","0.000010","0.000038","4.229829","4,010","0.045983","[-0.124448, +0.216413]","0.010983","[-2.9725%, +5.1692%]","0.596942","-","0.003433","0.000041","0.000163"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_dx_cost","","mean","4.023192","368,402","4.028362","775,591","-0.073292","[-0.0861, -0.060483]","-0.018217","[-2.1401%, -1.5034%]","0.000000","Significant","0.326745","-0.006616","-0.026435","4.022290","360,948","-0.000511","[-0.015171, +0.014148]","-0.000127","[-0.3771%, +0.3517%]","0.945495","-","0.326745","-0.000042","-0.000167"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","3.891775","87,984","3.818623","142,988","-0.073173","[-0.098721, -0.047625]","-0.018802","[-2.5367%, -1.2237%]","0.000000","Significant","0.053412","-0.000979","-0.003911","3.876160","86,525","-0.015634","[-0.043835, +0.012567]","-0.004017","[-1.1263%, +0.3229%]","0.277244","-","0.053412","-0.000209","-0.000835"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_dx_cost","","mean","4.054635","291,915","4.059457","653,292","-0.069770","[-0.084089, -0.05545]","-0.017207","[-2.0739%, -1.3676%]","0.000000","Significant","0.283124","-0.005508","-0.022008","4.056635","285,687","0.002788","[-0.013865, +0.01944]","0.000688","[-0.342%, +0.4795%]","0.742829","-","0.283124","0.000198","0.000789"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.010521","318,546","4.011660","678,129","-0.060771","[-0.074697, -0.046846]","-0.015153","[-1.8625%, -1.1681%]","0.000000","Significant","0.263224","-0.004414","-0.017635","4.001810","312,145","-0.008353","[-0.024244, +0.007538]","-0.002083","[-0.6045%, +0.1879%]","0.302884","-","0.263224","-0.000551","-0.002200"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_dx_cost","","mean","4.078697","76,394","4.098841","165,918","-0.048033","[-0.074258, -0.021809]","-0.011777","[-1.8206%, -0.5347%]","0.000331","Significant","0.073049","-0.000972","-0.003882","4.104549","74,580","0.022444","[-0.008697, +0.053584]","0.005503","[-0.2132%, +1.3138%]","0.157781","-","0.073049","0.000411","0.001641"
"dbd_avg_o2_gov_1pc","Metric","N/A","","mean","18.923459","15,740","19.052592","15,571","0.117112","[-0.232117, +0.46634]","0.006189","[-1.2266%, +2.4643%]","0.511013","-","0.567131","0.003570","0.066430","19.243222","15,073","0.288223","[-0.065774, +0.64222]","0.015231","[-0.3476%, +3.3938%]","0.110535","-","0.567131","0.008790","0.163582"
"dbd_avg_o2_gov_3pc","Metric","N/A","","mean","16.639192","167,866","16.664343","164,797","0.025845","[-0.059664, +0.111355]","0.001553","[-0.3586%, +0.6692%]","0.553582","-","0.540893","0.000849","0.013988","16.627255","164,652","-0.011308","[-0.095675, +0.07306]","-0.000680","[-0.575%, +0.4391%]","0.792788","-","0.540893","-0.000371","-0.006117"
"dbd_avg_o2_gov_alc","Metric","N/A","","mean","29.000603","25,410","28.977878","24,994","0.011293","[-0.411105, +0.43369]","0.000389","[-1.4176%, +1.4955%]","0.958211","-","0.503747","0.000204","0.005682","29.366002","25,004","0.370973","[-0.082468, +0.824413]","0.012792","[-0.2844%, +2.8427%]","0.108824","-","0.503747","0.006707","0.186649"
"dbd_avg_o2_gov_flowers","Metric","N/A","","mean","43.276488","135","39.620726","123","-3.695574","[-10.050319, +2.65917]","-0.085395","[-23.2235%, +6.1446%]","0.254366","-","0.565758","-0.052613","-2.098741","37.658911","108","-5.859919","[-12.852145, +1.132307]","-0.135407","[-29.6978%, +2.6164%]","0.100472","-","0.565758","-0.083832","-3.344080"
"dbd_avg_o2_gov_grocery","Metric","N/A","","mean","30.283412","78,039","30.020448","76,616","-0.267810","[-0.544492, +0.008871]","-0.008843","[-1.798%, +0.0293%]","0.057812","-","0.548240","-0.005094","-0.146685","30.029018","76,076","-0.254024","[-0.53143, +0.023382]","-0.008388","[-1.7549%, +0.0772%]","0.072692","-","0.548240","-0.004829","-0.139034"
"dbd_avg_o2_gov_nv","Metric","N/A","","mean","22.204179","286,695","22.115378","281,674","-0.082108","[-0.192744, +0.028528]","-0.003698","[-0.8681%, +0.1285%]","0.145784","-","0.544885","-0.002081","-0.044707","22.142190","280,673","-0.061716","[-0.172328, +0.048895]","-0.002780","[-0.7761%, +0.2202%]","0.274142","-","0.544885","-0.001563","-0.033594"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","38.874737","2,659","39.786676","2,419","0.919971","[-0.912261, +2.752203]","0.023665","[-2.3467%, +7.0797%]","0.325063","-","0.580390","0.014093","0.534394","38.570883","2,599","-0.253548","[-2.005084, +1.497988]","-0.006522","[-5.1578%, +3.8534%]","0.776625","-","0.580390","-0.003901","-0.147912"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","19.624486","459,697","19.575465","449,448","-0.048359","[-0.103742, +0.007023]","-0.002464","[-0.5286%, +0.0358%]","0.087004","-","0.575206","-0.001418","-0.027802","19.597048","449,294","-0.025228","[-0.082308, +0.031852]","-0.001286","[-0.4194%, +0.1623%]","0.386349","-","0.575206","-0.000740","-0.014501"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.920330","683,841","0.919725","669,908","-0.000596","[-0.001371, +0.000179]","-0.000648","[-0.149%, +0.0195%]","0.131981","-","0.563259","-0.000364","-0.000335","0.919908","668,601","-0.000421","[-0.001197, +0.000354]","-0.000458","[-0.13%, +0.0384%]","0.286618","-","0.563259","-0.000258","-0.000237"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.910163","87,983","0.913049","142,978","0.002881","[+0.000497, +0.005266]","0.003166","[+0.0546%, +0.5786%]","0.017879","Significant","0.053410","0.000169","0.000154","0.910420","86,517","0.000250","[-0.002427, +0.002927]","0.000275","[-0.2667%, +0.3216%]","0.854724","-","0.053410","0.000015","0.000013"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.913819","291,908","0.913970","653,254","0.000874","[-0.000181, +0.001928]","0.000956","[-0.0198%, +0.211%]","0.104371","-","0.283111","0.000302","0.000276","0.913942","285,675","0.000109","[-0.001158, +0.001376]","0.000119","[-0.1268%, +0.1506%]","0.866123","-","0.283111","0.000034","0.000031"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.922046","3,500","0.917289","6,312","-0.004838","[-0.013763, +0.004086]","-0.005247","[-1.4926%, +0.4431%]","0.287947","-","0.003559","-0.000019","-0.000018","0.916973","3,394","-0.005115","[-0.015459, +0.005229]","-0.005548","[-1.6766%, +0.5671%]","0.332442","-","0.003559","-0.000020","-0.000018"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.929844","4,128","0.922003","7,347","-0.007936","[-0.016563, +0.00069]","-0.008535","[-1.7813%, +0.0742%]","0.071362","-","0.003433","-0.000031","-0.000029","0.928014","4,010","-0.001832","[-0.011601, +0.007936]","-0.001970","[-1.2476%, +0.8535%]","0.713158","-","0.003433","-0.000007","-0.000006"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.912873","368,393","0.913776","775,543","0.001607","[+0.000633, +0.002581]","0.001760","[+0.0693%, +0.2827%]","0.001224","Significant","0.326730","0.000635","0.000579","0.913065","360,928","0.000181","[-0.00098, +0.001342]","0.000199","[-0.1073%, +0.147%]","0.759569","-","0.326730","0.000065","0.000059"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.911967","318,534","0.913288","678,078","0.001851","[+0.000772, +0.00293]","0.002030","[+0.0847%, +0.3213%]","0.000772","Significant","0.263208","0.000588","0.000537","0.911617","312,123","-0.000348","[-0.001639, +0.000942]","-0.000382","[-0.1797%, +0.1033%]","0.596546","-","0.263208","-0.000100","-0.000092"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.917493","76,395","0.915948","165,918","-0.001004","[-0.00309, +0.001083]","-0.001094","[-0.3368%, +0.1181%]","0.345899","-","0.073051","-0.000089","-0.000081","0.919460","74,580","0.001928","[-0.000525, +0.004381]","0.002101","[-0.0573%, +0.4775%]","0.123505","-","0.073051","0.000154","0.000141"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.015772","671,735","0.016233","657,988","0.000466","[+0.000105, +0.000826]","0.029526","[+0.6688%, +5.2365%]","0.011280","Significant","0.563102","0.017122","0.000262","0.016024","656,724","0.000254","[-0.000105, +0.000613]","0.016104","[-0.6662%, +3.8869%]","0.165612","-","0.563102","0.009337","0.000143"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.019048","3,453","0.017184","6,221","-0.001894","[-0.00636, +0.002572]","-0.099452","[-33.3914%, +13.5009%]","0.405766","-","0.003569","-0.000459","-0.000007","0.018383","3,347","-0.000697","[-0.005915, +0.004521]","-0.036567","[-31.0511%, +23.7377%]","0.793612","-","0.003569","-0.000163","-0.000002"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.012775","4,065","0.013159","7,214","0.000362","[-0.003403, +0.004127]","0.028356","[-26.6372%, +32.3084%]","0.850430","-","0.003439","0.000087","0.000001","0.012604","3,940","-0.000188","[-0.004436, +0.00406]","-0.014717","[-34.7224%, +31.7789%]","0.930869","-","0.003439","0.000000","0.000000"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.014531","361,100","0.015953","761,577","0.001158","[+0.000737, +0.001579]","0.079668","[+5.0707%, +10.863%]","0.000000","Significant","0.326491","0.027698","0.000417","0.014653","353,726","0.000122","[-0.000375, +0.000618]","0.008373","[-2.5788%, +4.2533%]","0.630955","-","0.326491","0.002638","0.000040"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.014648","311,737","0.015928","664,857","0.001029","[+0.000561, +0.001498]","0.070273","[+3.8278%, +10.2268%]","0.000017","Significant","0.262748","0.019799","0.000298","0.014742","305,375","0.000092","[-0.000461, +0.000645]","0.006304","[-3.1447%, +4.4055%]","0.743446","-","0.262748","0.001612","0.000024"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.014248","75,231","0.016007","163,432","0.001622","[+0.000728, +0.002516]","0.113863","[+5.1106%, +17.6621%]","0.000377","Significant","0.073266","0.008737","0.000132","0.014415","73,464","0.000163","[-0.000892, +0.001217]","0.011432","[-6.2574%, +8.5438%]","0.762069","-","0.073266","0.000794","0.000012"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_mi","","mean","0.012216","85,610","0.011466","138,994","-0.000750","[-0.001672, +0.000171]","-0.061422","[-13.6861%, +1.4016%]","0.110532","-","0.052920","-0.002639","-0.000040","0.011690","84,079","-0.000526","[-0.001557, +0.000505]","-0.043070","[-12.7444%, +4.1303%]","0.317066","-","0.052920","-0.001850","-0.000028"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.015074","286,826","0.016554","642,911","0.001268","[+0.000804, +0.001732]","0.084113","[+5.3305%, +11.4921%]","0.000000","Significant","0.283366","0.026572","0.000400","0.015325","280,735","0.000253","[-0.000302, +0.000807]","0.016758","[-2.0032%, +5.3547%]","0.371976","-","0.283366","0.004754","0.000072"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.003410","670,578","0.003537","656,819","0.000127","[-0.000039, +0.000294]","0.037299","[-1.1557%, +8.6155%]","0.134570","-","0.562955","0.021042","0.000072","0.003481","655,543","0.000072","[-0.000094, +0.000237]","0.021053","[-2.743%, +6.9535%]","0.394727","-","0.562955","0.011875","0.000040"
