"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","Treatment A Value","Treatment A Exposure Volume","Treatment A Absolute Impact","Treatment A Absolute Impact Confidence Interval","Treatment A Relative Impact","Treatment A Relative Impact Confidence Interval","Treatment A P Value","Treatment A Significance","Treatment A Coverage","Treatment A Relative Global Lift","Treatment A Absolute Global Lift","Treatment B Value","Treatment B Exposure Volume","Treatment B Absolute Impact","Treatment B Absolute Impact Confidence Interval","Treatment B Relative Impact","Treatment B Relative Impact Confidence Interval","Treatment B P Value","Treatment B Significance","Treatment B Coverage","Treatment B Relative Global Lift","Treatment B Absolute Global Lift"
"o1_subtotal","Metric","N/A","","mean","27.942893","6,824,172","27.919235","6,619,576","-0.024789","[-0.051215, +0.001637]","-0.000887","[-0.1833%, +0.0059%]","0.065979","-","0.594354","-0.000525","-0.014730","27.938110","6,618,666","-0.004964","[-0.031486, +0.021558]","-0.000178","[-0.1127%, +0.0772%]","0.713733","-","0.594354","-0.000105","-0.002951"
"o1_vp","Metric","N/A","","mean","3.577437","6,824,172","3.575433","6,619,576","-0.001026","[-0.010473, +0.00842]","-0.000287","[-0.2927%, +0.2354%]","0.831375","-","0.594354","-0.000170","-0.000610","3.576629","6,618,666","0.000623","[-0.008843, +0.010089]","0.000174","[-0.2472%, +0.282%]","0.897432","-","0.594354","0.000103","0.000370"
"o1_vp_per_cx","Metric","N/A","","mean","13.654924","6,972,158","13.636156","6,764,391","-0.010367","[-0.04746, +0.026727]","-0.000759","[-0.3476%, +0.1957%]","0.583864","-","0.592961","-0.000450","-0.006417","13.652829","6,761,916","0.001009","[-0.036176, +0.038194]","0.000074","[-0.2649%, +0.2797%]","0.957572","-","0.592961","0.000044","0.000625"
"order_frequency_per_entity_7d","Metric","N/A","","mean","2.566839","3,696,969","2.565989","3,587,823","0.000344","[-0.002401, +0.00309]","0.000134","[-0.0935%, +0.1204%]","0.805893","-","0.203912","0.000027","0.000113","2.567395","3,588,517","0.001322","[-0.001423, +0.004066]","0.000515","[-0.0554%, +0.1584%]","0.345197","-","0.203912","0.000105","0.000434"
"order_inflation_rate","Metric","N/A","","mean","0.184895","5,684,902","0.184871","5,514,822","-0.000024","[-0.000109, +0.000061]","-0.000131","[-0.059%, +0.0328%]","0.576540","-","0.602174","-0.000080","-0.000015","0.184900","5,512,876","0.000000","[-0.000085, +0.000085]","-0.000002","[-0.0461%, +0.0457%]","0.993480","-","0.602174","0.000000","0.000000"
"order_rate_per_entity_7d","Metric","N/A","","mean","1.361060","6,972,158","1.360997","6,764,391","0.000459","[-0.00131, +0.002229]","0.000338","[-0.0963%, +0.1638%]","0.610870","-","0.203852","0.000069","0.000284","1.362504","6,761,916","0.001044","[-0.000726, +0.002814]","0.000767","[-0.0533%, +0.2067%]","0.247597","-","0.203852","0.000156","0.000646"
"ox_subtotal_combined","Metric","N/A","","mean","28.367736","3,871,086","28.323315","3,754,445","-0.037260","[-0.081082, +0.006561]","-0.001313","[-0.2858%, +0.0231%]","0.095615","-","0.446953","-0.000579","-0.016648","28.341149","3,755,696","-0.013024","[-0.05726, +0.031212]","-0.000459","[-0.2019%, +0.11%]","0.563894","-","0.446953","-0.000202","-0.005821"
"smb_rx_filtered_core_volume","Metric","N/A","","mean","0.392698","6,045,855","0.392715","5,864,333","0.000001","[-0.000486, +0.000489]","0.000004","[-0.1239%, +0.1246%]","0.995597","-","0.599204","0.000000","0.000000","0.392326","5,862,955","-0.000390","[-0.000879, +0.000098]","-0.000994","[-0.2238%, +0.0249%]","0.117052","-","0.599204","-0.000581","-0.000234"
"variable_profit_per_order","Metric","N/A","","mean","3.480617","6,939,184","3.475687","6,732,070","-0.004340","[-0.011034, +0.002355]","-0.001247","[-0.317%, +0.0677%]","0.203888","-","0.523170","-0.000716","-0.002270","3.482668","6,729,921","0.001928","[-0.004773, +0.008629]","0.000554","[-0.1371%, +0.2479%]","0.572838","-","0.523170","0.000318","0.001009"
"vol_from_over_25","Metric","N/A","","mean","0.155316","6,809,362","0.155570","6,605,231","0.000255","[-0.000027, +0.000537]","0.001642","[-0.0175%, +0.3459%]","0.076552","-","0.593078","0.001025","0.000151","0.155486","6,604,265","0.000148","[-0.000134, +0.000429]","0.000950","[-0.0865%, +0.2765%]","0.304852","-","0.593078","0.000593","0.000088"
