"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1  Value","treatment1  Exposure Volume","treatment1  Absolute Impact","treatment1  Absolute Impact Confidence Interval","treatment1  Relative Impact","treatment1  Relative Impact Confidence Interval","treatment1  P Value","treatment1  Significance","treatment1  Coverage","treatment1  Relative Global Lift","treatment1  Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dsmp_order_rate_7d","Metric","N/A","","mean","2.122264","5,313,043","2.121466","5,474,767","-0.000820","[-0.002976, +0.001337]","-0.000386","[-0.1402%, +0.063%]","0.456469","-","0.340446","-0.000131","-0.000480","2.122019","5,311,533","-0.000212","[-0.002383, +0.001958]","-0.000100","[-0.1123%, +0.0923%]","0.847883","-","0.340446","-0.000034","-0.000124"
"dsmp_perc_mx_trialers","Metric","N/A","","mean","0.252049","4,647,893","0.251841","4,787,246","-0.000216","[-0.000633, +0.0002]","-0.000859","[-0.2509%, +0.0792%]","0.307762","-","0.439481","-0.000361","-0.000095","0.251765","4,646,161","-0.000313","[-0.000732, +0.000107]","-0.001240","[-0.2903%, +0.0423%]","0.143885","-","0.439481","-0.000520","-0.000137"
"dsmp_same_day_conversion","Metric","N/A","","mean","0.524023","4,220,361","0.523728","4,350,438","-0.000255","[-0.000691, +0.000181]","-0.000487","[-0.1319%, +0.0345%]","0.251605","-","","","","0.523760","4,219,992","-0.000283","[-0.000722, +0.000156]","-0.000540","[-0.1378%, +0.0298%]","0.206277","-","","",""
"groc_active_users","Metric","N/A","","mean","0.073694","5,508,685","0.073704","5,676,380","0.000000","[-0.000287, +0.000287]","0.000000","[-0.3897%, +0.3897%]","0.999941","-","0.446434","0.000000","0.000000","0.073962","5,507,000","0.000157","[-0.000132, +0.000447]","0.002137","[-0.1792%, +0.6067%]","0.286457","-","0.446434","0.000954","0.000954"
"is_fsg_power_user_0","Dimension","groc_active_users","","mean","0.062471","5,397,057","0.062495","5,561,643","0.000001","[-0.000277, +0.000279]","0.000015","[-0.4441%, +0.447%]","0.994897","-","0.370761","0.000005","0.000005","0.062655","5,394,599","0.000130","[-0.00015, +0.000411]","0.002086","[-0.2406%, +0.6577%]","0.362833","-","0.370761","0.000773","0.000773"
"is_fsg_power_user_1","Dimension","groc_active_users","","mean","0.732895","93,611","0.734707","96,056","0.001754","[-0.002172, +0.00568]","0.002393","[-0.2964%, +0.7751%]","0.381283","-","0.075517","0.000181","0.000181","0.733167","94,250","0.000256","[-0.003693, +0.004206]","0.000350","[-0.5039%, +0.5739%]","0.898727","-","0.075517","0.000026","0.000026"
"is_new_grocery_user_0","Dimension","groc_active_users","","mean","0.158924","2,171,561","0.158942","2,236,907","-0.000016","[-0.000661, +0.000629]","-0.000103","[-0.4161%, +0.3955%]","0.960299","-","0.379443","-0.000039","-0.000039","0.159500","2,170,295","0.000324","[-0.000327, +0.000974]","0.002036","[-0.2056%, +0.6127%]","0.329480","-","0.379443","0.000772","0.000772"
"is_new_grocery_user_1","Dimension","groc_active_users","","mean","0.018273","3,319,574","0.018306","3,421,287","0.000033","[-0.00017, +0.000235]","0.001783","[-0.929%, +1.2855%]","0.752311","-","0.066714","0.000119","0.000119","0.018363","3,319,001","0.000090","[-0.000114, +0.000294]","0.004931","[-0.6233%, +1.6096%]","0.386646","-","0.066714","0.000329","0.000329"
"groc_active_users_14d","Metric","N/A","","mean","0.069365","5,508,685","0.069399","5,676,380","0.000057","[-0.000224, +0.000339]","0.000828","[-0.3232%, +0.4889%]","0.689247","-","0.420204","0.000348","0.000348","0.069602","5,507,000","0.000257","[-0.000027, +0.000541]","0.003708","[-0.0386%, +0.7801%]","0.075867","-","0.420204","0.001558","0.001557"
"is_fsg_power_user_0","Dimension","groc_active_users_14d","","mean","0.058484","5,397,057","0.058535","5,561,643","0.000067","[-0.000205, +0.000338]","0.001139","[-0.3499%, +0.5777%]","0.630237","-","0.347094","0.000395","0.000395","0.058625","5,394,599","0.000191","[-0.000082, +0.000464]","0.003266","[-0.1408%, +0.7941%]","0.170863","-","0.347094","0.001134","0.001133"
"is_fsg_power_user_1","Dimension","groc_active_users_14d","","mean","0.708218","93,611","0.709836","96,056","0.001170","[-0.002853, +0.005194]","0.001653","[-0.4029%, +0.7334%]","0.568599","-","0.072973","0.000121","0.000121","0.709231","94,250","0.000643","[-0.0034, +0.004687]","0.000908","[-0.4801%, +0.6618%]","0.755195","-","0.072973","0.000066","0.000066"
"is_new_grocery_user_0","Dimension","groc_active_users_14d","","mean","0.149848","2,171,561","0.149961","2,236,907","0.000150","[-0.000485, +0.000785]","0.001002","[-0.3236%, +0.5241%]","0.643033","-","0.357767","0.000359","0.000358","0.150386","2,170,295","0.000570","[-0.00007, +0.001211]","0.003807","[-0.0465%, +0.8079%]","0.080730","-","0.357767","0.001362","0.001361"
"is_new_grocery_user_1","Dimension","groc_active_users_14d","","mean","0.017033","3,319,574","0.017040","3,421,287","0.000007","[-0.000188, +0.000203]","0.000429","[-1.1043%, +1.1901%]","0.941607","-","0.062185","0.000027","0.000027","0.017093","3,319,001","0.000060","[-0.000137, +0.000257]","0.003543","[-0.8025%, +1.511%]","0.548313","-","0.062185","0.000220","0.000220"
"groc_pre_inflated_spend_per_active_cx","Metric","N/A","","mean","63.096800","405,955","62.999853","418,372","-0.137001","[-0.443657, +0.169655]","-0.002171","[-0.7031%, +0.2689%]","0.381232","-","0.446740","-0.000867","-0.061204","62.831720","407,308","-0.379189","[-0.681539, -0.07684]","-0.006010","[-1.0801%, -0.1218%]","0.013969","Significant","0.446740","-0.002400","-0.169399"
"is_new_grocery_user_0","Dimension","groc_pre_inflated_spend_per_active_cx","","mean","67.781849","345,113","67.670646","355,538","-0.110091","[-0.460738, +0.240557]","-0.001624","[-0.6797%, +0.3549%]","0.538318","-","0.379701","-0.000592","-0.041802","67.486932","346,162","-0.330384","[-0.676567, +0.015799]","-0.004874","[-0.9982%, +0.0233%]","0.061413","-","0.379701","-0.001777","-0.125447"
