"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","1200 Value","1200 Exposure Volume","600 Value","600 Exposure Volume","600 Absolute Impact","600 Absolute Impact Confidence Interval","600 Relative Impact","600 Relative Impact Confidence Interval","600 P Value","600 Significance","600 Coverage","600 Relative Global Lift","600 Absolute Global Lift","900 Value","900 Exposure Volume","900 Absolute Impact","900 Absolute Impact Confidence Interval","900 Relative Impact","900 Relative Impact Confidence Interval","900 P Value","900 Significance","900 Coverage","900 Relative Global Lift","900 Absolute Global Lift"
"o1_order_rate_7d","Metric","N/A","","mean","1.861569","13,112,877","1.862760","12,719,739","0.000155","[-0.00104, +0.001351]","0.000083","[-0.0559%, +0.0726%]","0.799022","-","0.355819","0.000030","0.000152","1.862184","12,719,309","0.000188","[-0.001007, +0.001384]","0.000101","[-0.0541%, +0.0743%]","0.757371","-","0.355819","0.000036","0.000185"
"o1_subtotal","Metric","N/A","","mean","27.896619","12,080,591","27.902340","11,722,699","0.008231","[-0.010872, +0.027334]","0.000295","[-0.039%, +0.098%]","0.398399","-","0.937416","0.000275","0.007716","27.883042","11,723,866","-0.011623","[-0.029912, +0.006667]","-0.000417","[-0.1072%, +0.0239%]","0.212934","-","0.937416","-0.000388","-0.010895"
"o1_vp","Metric","N/A","","mean","3.296074","12,080,591","3.290644","11,722,699","-0.004668","[-0.013594, +0.004258]","-0.001416","[-0.4124%, +0.1292%]","0.305387","-","0.937416","-0.001330","-0.004376","3.289804","11,723,866","-0.005775","[-0.014655, +0.003106]","-0.001752","[-0.4446%, +0.0942%]","0.202499","-","0.937416","-0.001645","-0.005413"
"o1_vp_per_cx","Metric","N/A","","mean","14.867606","14,250,410","14.858333","13,824,741","-0.010925","[-0.05225, +0.0304]","-0.000735","[-0.3514%, +0.2045%]","0.604345","-","0.938785","-0.000690","-0.011647","14.847857","13,824,745","-0.018910","[-0.060196, +0.022377]","-0.001272","[-0.4049%, +0.1505%]","0.369354","-","0.938785","-0.001194","-0.020158"
"order_frequency_per_entity_7d","Metric","N/A","","mean","2.293604","11,487,787","2.294139","11,147,847","-0.000261","[-0.001603, +0.00108]","-0.000114","[-0.0699%, +0.0471%]","0.702714","-","0.369536","-0.000042","-0.000225","2.293282","11,149,426","-0.000401","[-0.001742, +0.000941]","-0.000175","[-0.076%, +0.041%]","0.558106","-","0.369536","-0.000065","-0.000345"
"order_inflation_rate","Metric","N/A","","mean","0.186192","10,099,806","0.186218","9,801,634","0.000022","[-0.000041, +0.000085]","0.000120","[-0.0219%, +0.0459%]","0.488890","-","0.944463","0.000114","0.000021","0.186203","9,801,387","0.000009","[-0.000055, +0.000072]","0.000046","[-0.0293%, +0.0385%]","0.790265","-","0.944463","0.000044","0.000008"
"order_rate_per_entity_7d","Metric","N/A","","mean","1.848960","14,250,410","1.849923","13,824,741","0.000089","[-0.001098, +0.001277]","0.000048","[-0.0594%, +0.0691%]","0.882870","-","0.369481","0.000018","0.000095","1.849494","13,824,745","0.000322","[-0.000866, +0.001509]","0.000174","[-0.0468%, +0.0816%]","0.595598","-","0.369481","0.000064","0.000343"
"ox_subtotal_combined","Metric","N/A","","mean","28.629239","8,168,977","28.637339","7,930,522","0.014952","[-0.0147, +0.044603]","0.000522","[-0.0513%, +0.1558%]","0.323006","-","0.777427","0.000402","0.011625","28.630811","7,928,966","0.006692","[-0.026472, +0.039857]","0.000234","[-0.0925%, +0.1392%]","0.692461","-","0.777427","0.000180","0.005203"
"smb_rx_filtered_core_volume","Metric","N/A","","mean","0.399293","10,693,742","0.399078","10,376,659","-0.000207","[-0.000585, +0.00017]","-0.000520","[-0.1465%, +0.0426%]","0.281455","-","0.938521","-0.000483","-0.000195","0.399212","10,377,111","-0.000089","[-0.000467, +0.000288]","-0.000224","[-0.1169%, +0.0722%]","0.642763","-","0.938521","-0.000208","-0.000084"
"variable_profit_per_order","Metric","N/A","","mean","3.136417","12,074,016","3.134134","11,716,440","-0.000801","[-0.005714, +0.004113]","-0.000255","[-0.1822%, +0.1311%]","0.749431","-","0.816579","-0.000228","-0.000654","3.135785","11,717,404","-0.000862","[-0.005766, +0.004042]","-0.000275","[-0.1838%, +0.1289%]","0.730489","-","0.816579","-0.000246","-0.000704"
"vol_from_over_25","Metric","N/A","","mean","0.147627","12,081,634","0.147648","11,723,761","0.000002","[-0.0002, +0.000204]","0.000015","[-0.1352%, +0.1383%]","0.982648","-","0.940562","0.000014","0.000002","0.147685","11,724,909","0.000058","[-0.000143, +0.00026]","0.000395","[-0.0972%, +0.1761%]","0.571367","-","0.940562","0.000368","0.000055"
