"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_cx_retrial","Metric","N/A","","mean","0.012040","199,081","0.011335","213,237","-0.000702","[-0.001359, -0.000045]","-0.058301","[-11.2833%, -0.3768%]","0.036138","Significant","0.008828","-0.000515","-0.000087","0.012140","192,992","0.000109","[-0.000575, +0.000793]","0.009022","[-4.7791%, +6.5835%]","0.755615","-","0.008828","0.000080","0.000013"
"dbd_existing_attach_rate_post_checkout","Metric","N/A","","mean","0.044100","94,251","0.045883","96,554","0.001349","[+0.000229, +0.002469]","0.030590","[+0.5196%, +5.5983%]","0.018226","Significant","0.017337","0.000639","0.000024","0.045354","91,652","0.001137","[+0.000002, +0.002271]","0.025772","[+0.0046%, +5.1499%]","0.049591","Significant","0.017337","0.000523","0.000020"
"dbd_new_attach_rate_post_checkout","Metric","N/A","","mean","0.008271","56,795","0.008488","56,894","0.000244","[-0.000272, +0.00076]","0.029512","[-3.2909%, +9.1933%]","0.354111","-","0.013356","0.000258","0.000003","0.008989","54,712","0.000640","[+0.000056, +0.001223]","0.077334","[+0.6791%, +14.7877%]","0.031663","Significant","0.013356","0.000661","0.000008"
"dbd_nv_trials_net_new_per_cx","Metric","N/A","","mean","0.001381","199,081","0.001627","213,237","0.000247","[+0.000011, +0.000483]","0.178833","[+0.7658%, +35.0008%]","0.040595","Significant","0.006895","0.001233","0.000075","0.001451","192,992","0.000070","[-0.000165, +0.000306]","0.050710","[-11.9802%, +22.1221%]","0.559970","-","0.006895","0.000350","0.000021"
"dbd_nv_trials_per_cx","Metric","N/A","","mean","0.002888","199,081","0.002959","213,237","0.000073","[-0.000257, +0.000402]","0.025178","[-8.8988%, +13.9343%]","0.665565","-","0.006772","0.000171","0.000022","0.002938","192,992","0.000050","[-0.000287, +0.000388]","0.017343","[-9.9499%, +13.4185%]","0.771114","-","0.006772","0.000117","0.000015"
"dbd_nv_trials_retrial_per_cx","Metric","N/A","","mean","0.001507","199,081","0.001332","213,237","-0.000174","[-0.000404, +0.000056]","-0.115469","[-26.8232%, +3.7294%]","0.138480","-","0.006664","-0.000769","-0.000053","0.001487","192,992","-0.000020","[-0.000262, +0.000222]","-0.013155","[-17.3784%, +14.7475%]","0.872480","-","0.006664","-0.000088","-0.000006"
"dbd_o2_aov","Metric","N/A","","mean","22.067699","24,826","21.991719","25,949","-0.081103","[-0.399634, +0.237429]","-0.003675","[-1.8109%, +1.0759%]","0.617755","-","0.018223","-0.000075","-0.001535","22.150034","24,491","0.087929","[-0.252532, +0.42839]","0.003985","[-1.1444%, +1.9413%]","0.612724","-","0.018223","0.000078","0.001598"
"dbd_o2_gmv","Metric","N/A","","mean","5.742251","199,081","5.802661","213,237","0.024961","[-0.121852, +0.171774]","0.004347","[-2.122%, +2.9914%]","0.738959","-","0.019660","0.000085","0.003078","5.850719","192,992","0.077192","[-0.07242, +0.226805]","0.013443","[-1.2612%, +3.9498%]","0.311900","-","0.019660","0.000264","0.009518"
"dbd_o2_subtotal","Metric","N/A","","mean","15.668201","24,826","15.627067","25,949","-0.049082","[-0.315614, +0.217451]","-0.003133","[-2.0144%, +1.3878%]","0.718156","-","0.018223","-0.000065","-0.000929","15.752823","24,491","0.093341","[-0.191705, +0.378386]","0.005957","[-1.2235%, +2.415%]","0.520998","-","0.018223","0.000119","0.001697"
"dbd_o2_trials_per_cx","Metric","N/A","","mean","0.017255","149,234","0.018006","151,558","0.000812","[-0.000126, +0.001751]","0.047077","[-0.7307%, +10.1461%]","0.089768","-","0.008408","0.000396","0.000009","0.018230","144,545","0.000976","[+0.000023, +0.001929]","0.056589","[+0.1358%, +11.182%]","0.044625","Significant","0.008408","0.000476","0.000011"
"dbd_o2_vp","Metric","N/A","","mean","-0.598132","24,826","-0.540742","25,949","0.063801","[-0.031996, +0.159597]","0.106667","[+5.3493%, -26.6827%]","0.191778","-","0.018223","-0.002040","0.001207","-0.510342","24,491","0.075812","[-0.028441, +0.180066]","0.126748","[+4.755%, -30.1047%]","0.154080","-","0.018223","-0.002329","0.001378"
"dbd_o2_vp_per_cx","Metric","N/A","","mean","-0.155640","199,081","-0.142678","213,237","0.015434","[-0.010287, +0.041156]","0.099167","[+6.6095%, -26.4428%]","0.239558","-","0.018475","-0.001832","0.001903","-0.134802","192,992","0.022357","[-0.005666, +0.05038]","0.143646","[+3.6403%, -32.3695%]","0.117889","-","0.018475","-0.002654","0.002757"
"dbd_o_2_trials_per_cx_post_checkout","Metric","N/A","","mean","0.014293","149,234","0.014555","151,558","0.000317","[-0.000533, +0.001168]","0.022193","[-3.7302%, +8.1688%]","0.464705","-","0.008646","0.000192","0.000004","0.014909","144,545","0.000619","[-0.000247, +0.001485]","0.043286","[-1.7307%, +10.388%]","0.161472","-","0.008646","0.000374","0.000007"
"dbd_o_2_trials_per_cx_pre_checkout","Metric","N/A","","mean","0.002962","149,234","0.003451","151,558","0.000496","[+0.000092, +0.0009]","0.167531","[+3.1178%, +30.3885%]","0.016035","Significant","0.007423","0.001244","0.000006","0.003321","144,545","0.000358","[-0.000047, +0.000763]","0.120961","[-1.5724%, +25.7645%]","0.082830","-","0.007423","0.000898","0.000004"
"dbd_order_frequency","Metric","N/A","","mean","2.086643","24,826","2.168253","25,949","0.072901","[+0.034776, +0.111025]","0.034937","[+1.6666%, +5.3208%]","0.000178","Significant","0.018223","0.000637","0.001118","2.081458","24,491","0.005885","[-0.03153, +0.043301]","0.002820","[-1.511%, +2.0751%]","0.757857","-","0.018223","0.000051","0.000090"
"dbd_order_frequency_14d","Metric","N/A","","mean","1.789457","15,726","1.855547","16,199","0.049292","[+0.017009, +0.081574]","0.027546","[+0.9505%, +4.5586%]","0.002766","Significant","0.009830","0.000271","0.000475","1.775639","15,426","0.002073","[-0.029924, +0.03407]","0.001159","[-1.6722%, +1.904%]","0.898949","-","0.009830","0.000011","0.000020"
"dbd_order_frequency_28d","Metric","N/A","","mean","2.552934","6,442","2.730575","6,718","0.140425","[+0.04998, +0.23087]","0.055005","[+1.9578%, +9.0433%]","0.002342","Significant","0.005769","0.000317","0.000557","2.591514","6,316","0.043884","[-0.045539, +0.133306]","0.017189","[-1.7838%, +5.2217%]","0.336130","-","0.005769","0.000099","0.000174"
"dbd_order_frequency_7d","Metric","N/A","","mean","1.416196","13,275","1.444340","13,861","0.018436","[-0.002495, +0.039367]","0.013018","[-0.1762%, +2.7797%]","0.084286","-","0.006614","0.000086","0.000151","1.416705","13,122","0.004815","[-0.017392, +0.027022]","0.003400","[-1.228%, +1.9081%]","0.670847","-","0.006614","0.000022","0.000039"
