"Metric Name","Type","Parent Metric","Experiment Group","Aggregate Func","control Value","control Exposure Volume","treatment1 Value","treatment1 Exposure Volume","treatment1 Absolute Impact","treatment1 Absolute Impact Confidence Interval","treatment1 Relative Impact","treatment1 Relative Impact Confidence Interval","treatment1 P Value","treatment1 Significance","treatment1 Coverage","treatment1 Relative Global Lift","treatment1 Absolute Global Lift","treatment2 Value","treatment2 Exposure Volume","treatment2 Absolute Impact","treatment2 Absolute Impact Confidence Interval","treatment2 Relative Impact","treatment2 Relative Impact Confidence Interval","treatment2 P Value","treatment2 Significance","treatment2 Coverage","treatment2 Relative Global Lift","treatment2 Absolute Global Lift"
"dbd_avg_o2_gov_pets","Metric","N/A","","mean","38.116201","1,814","36.979650","1,833","-1.337866","[-4.023888, +1.348157]","-0.035100","[-10.5569%, +3.537%]","0.328952","-","0.171456","-0.005957","-0.231458","37.565935","1,800","-0.081421","[-2.330985, +2.168143]","-0.002136","[-6.1155%, +5.6882%]","0.943446","-","0.171456","-0.000357","-0.013863"
"dbd_avg_o2_gov_rx","Metric","N/A","","mean","20.272261","184,961","20.177112","187,876","-0.080089","[-0.172904, +0.012726]","-0.003951","[-0.8529%, +0.0628%]","0.090793","-","0.112887","-0.000469","-0.009075","20.220826","186,496","-0.034480","[-0.127809, +0.05885]","-0.001701","[-0.6305%, +0.2903%]","0.469013","-","0.112887","-0.000201","-0.003893"
"dbd_avg_o2_hqdr","Metric","N/A","","mean","0.919822","274,076","0.917434","272,969","-0.002525","[-0.003488, -0.001562]","-0.002745","[-0.3792%, -0.1698%]","0.000000","Significant","0.127438","-0.000351","-0.000324","0.917588","271,540","-0.002320","[-0.003282, -0.001357]","-0.002522","[-0.3568%, -0.1476%]","0.000002","Significant","0.127438","-0.000321","-0.000296"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_hqdr","","mean","0.921809","214,566","0.919080","215,885","-0.002855","[-0.003999, -0.001712]","-0.003098","[-0.4338%, -0.1857%]","0.000001","Significant","0.115933","-0.000361","-0.000334","0.918850","213,936","-0.003027","[-0.004173, -0.001882]","-0.003284","[-0.4527%, -0.2041%]","0.000000","Significant","0.115933","-0.000380","-0.000352"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_hqdr","","mean","0.929823","4,355","0.925661","4,348","-0.004224","[-0.012465, +0.004017]","-0.004543","[-1.3406%, +0.432%]","0.315096","-","0.001828","-0.000009","-0.000008","0.928919","4,271","-0.001042","[-0.009286, +0.007201]","-0.001121","[-0.9987%, +0.7745%]","0.804257","-","0.001828","-0.000002","-0.000002"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_hqdr","","mean","0.907836","8,591","0.907049","8,293","-0.000849","[-0.007005, +0.005307]","-0.000935","[-0.7716%, +0.5845%]","0.786860","-","0.004253","-0.000004","-0.000004","0.906604","8,322","-0.001297","[-0.007415, +0.004821]","-0.001429","[-0.8168%, +0.531%]","0.677752","-","0.004253","-0.000006","-0.000005"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.921375","198,200","0.922635","187,979","0.001232","[+0.000001, +0.002462]","0.001337","[+0.0001%, +0.2672%]","0.049777","Significant","0.094051","0.000125","0.000115","0.921614","187,700","0.000232","[-0.001003, +0.001466]","0.000251","[-0.1088%, +0.1591%]","0.712978","-","0.094051","0.000023","0.000022"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_hqdr","","mean","0.921672","56,167","0.907563","72,752","-0.014256","[-0.016662, -0.01185]","-0.015468","[-1.8078%, -1.2857%]","0.000000","Significant","0.028912","-0.000444","-0.000411","0.909424","70,339","-0.012350","[-0.014762, -0.009938]","-0.013400","[-1.6017%, -1.0783%]","0.000000","Significant","0.028912","-0.000382","-0.000354"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.911988","39,171","0.907867","40,795","-0.004123","[-0.008062, -0.000184]","-0.004521","[-0.884%, -0.0202%]","0.040195","Significant","0.009214","-0.000041","-0.000038","0.907812","40,190","-0.004174","[-0.008136, -0.000213]","-0.004577","[-0.8921%, -0.0234%]","0.038883","Significant","0.009214","-0.000042","-0.000039"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_hqdr","","mean","0.922187","190,948","0.919682","190,950","-0.002628","[-0.003791, -0.001466]","-0.002850","[-0.411%, -0.159%]","0.000009","Significant","0.112767","-0.000323","-0.000299","0.919462","189,486","-0.002810","[-0.003974, -0.001647]","-0.003048","[-0.4309%, -0.1786%]","0.000002","Significant","0.112767","-0.000343","-0.000318"
"dbd_avg_o2_mi","Metric","N/A","","mean","0.017394","270,116","0.016982","269,063","-0.000379","[-0.000841, +0.000082]","-0.021807","[-4.8343%, +0.473%]","0.107265","-","0.127546","-0.003107","-0.000049","0.016924","267,674","-0.000424","[-0.00088, +0.000032]","-0.024368","[-5.0594%, +0.1858%]","0.068594","-","0.127546","-0.003448","-0.000054"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_mi","","mean","0.018198","194,839","0.017387","184,777","-0.000824","[-0.001441, -0.000207]","-0.045271","[-7.9185%, -1.1357%]","0.008889","Significant","0.093988","-0.004918","-0.000077","0.017636","184,512","-0.000555","[-0.001172, +0.000061]","-0.030524","[-6.441%, +0.3362%]","0.077482","-","0.093988","-0.003295","-0.000052"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_mi","","mean","0.014819","55,278","0.015908","71,596","0.001237","[+0.000178, +0.002297]","0.083502","[+1.2024%, +15.498%]","0.022041","Significant","0.029020","0.002283","0.000036","0.015547","69,264","0.000854","[-0.000191, +0.0019]","0.057650","[-1.2896%, +12.8197%]","0.109225","-","0.029020","0.001565","0.000025"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_mi","","mean","0.012680","38,067","0.012253","39,690","-0.000427","[-0.001985, +0.00113]","-0.033704","[-15.6528%, +8.9119%]","0.590691","-","0.009103","-0.000249","-0.000004","0.012147","39,086","-0.000534","[-0.002089, +0.001022]","-0.042084","[-16.4777%, +8.0609%]","0.501412","-","0.009103","-0.000311","-0.000005"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_mi","","mean","0.017899","188,408","0.017395","188,424","-0.000476","[-0.001049, +0.000098]","-0.026569","[-5.8599%, +0.5462%]","0.104008","-","0.112918","-0.003459","-0.000054","0.017518","187,019","-0.000337","[-0.000907, +0.000232]","-0.018851","[-5.0676%, +1.2974%]","0.245661","-","0.112918","-0.002435","-0.000038"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_mi","","mean","0.017305","211,154","0.016871","212,502","-0.000400","[-0.000955, +0.000155]","-0.023112","[-5.5171%, +0.8948%]","0.157670","-","0.115990","-0.002982","-0.000047","0.016935","210,626","-0.000325","[-0.000877, +0.000227]","-0.018769","[-5.0662%, +1.3124%]","0.248728","-","0.115990","-0.002407","-0.000038"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_mi","","mean","0.014556","4,280","0.014132","4,281","-0.000433","[-0.004228, +0.003362]","-0.029762","[-29.0474%, +23.095%]","0.822957","-","0.001832","0.000000","0.000000","0.015851","4,197","0.001325","[-0.002548, +0.005199]","0.091049","[-17.5073%, +35.7171%]","0.502496","-","0.001832","0.000154","0.000002"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_mi","","mean","0.024781","8,457","0.022090","8,134","-0.002741","[-0.00599, +0.000508]","-0.110617","[-24.1732%, +2.0498%]","0.098219","-","0.004236","-0.000744","-0.000012","0.022479","8,171","-0.002305","[-0.005584, +0.000973]","-0.093021","[-22.5324%, +3.9283%]","0.168196","-","0.004236","-0.000613","-0.000010"
"dbd_avg_o2_nd","Metric","N/A","","mean","0.004238","270,106","0.004347","269,058","0.000108","[-0.000104, +0.00032]","0.025450","[-2.4487%, +7.5388%]","0.317855","-","0.127553","0.003269","0.000014","0.004421","267,673","0.000181","[-0.000031, +0.000394]","0.042816","[-0.7406%, +9.3038%]","0.094734","-","0.127553","0.005461","0.000023"
"dbd_user_type_new_dbd","Dimension","dbd_avg_o2_nd","","mean","0.005850","38,065","0.005708","39,689","-0.000142","[-0.001203, +0.000919]","-0.024291","[-20.5628%, +15.7047%]","0.792904","-","0.009103","-0.000300","-0.000001","0.006099","39,086","0.000249","[-0.000834, +0.001331]","0.042500","[-14.2517%, +22.7518%]","0.652552","-","0.009103","0.000525","0.000002"
"dbd_user_type_returning_dbd","Dimension","dbd_avg_o2_nd","","mean","0.004306","188,402","0.004325","188,420","0.000019","[-0.000245, +0.000283]","0.004381","[-5.6974%, +6.5737%]","0.888688","-","0.112924","0.000498","0.000002","0.004339","187,018","0.000034","[-0.000231, +0.000299]","0.007932","[-5.3664%, +6.9527%]","0.800740","-","0.112924","0.000894","0.000004"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_nd","","mean","0.004491","194,831","0.004474","184,771","-0.000017","[-0.000309, +0.000276]","-0.003726","[-6.887%, +6.1418%]","0.910739","-","0.093992","-0.000362","-0.000002","0.004528","184,509","0.000037","[-0.000257, +0.000331]","0.008146","[-5.7305%, +7.3598%]","0.807271","-","0.093992","0.000787","0.000003"
"dbd_bundle_type_pre_checkout","Dimension","dbd_avg_o2_nd","","mean","0.004134","55,278","0.004299","71,596","0.000153","[-0.000375, +0.000681]","0.037041","[-9.071%, +16.4792%]","0.569839","-","0.029022","0.001025","0.000004","0.004304","69,264","0.000160","[-0.000369, +0.00069]","0.038798","[-8.9268%, +16.6863%]","0.552663","-","0.029022","0.001065","0.000005"
"dbd_delivery_platform_android","Dimension","dbd_avg_o2_nd","","mean","0.004397","211,146","0.004376","212,497","-0.000022","[-0.000284, +0.000241]","-0.004935","[-6.4577%, +5.4708%]","0.871176","-","0.115996","-0.000587","-0.000003","0.004429","210,625","0.000031","[-0.000233, +0.000295]","0.007073","[-5.3005%, +6.7151%]","0.817508","-","0.115996","0.000836","0.000004"
"dbd_delivery_platform_desktop","Dimension","dbd_avg_o2_nd","","mean","0.003732","4,280","0.004508","4,281","0.000777","[-0.00119, +0.002744]","0.208089","[-31.8958%, +73.5135%]","0.439029","-","0.001832","0.000336","0.000001","0.004090","4,197","0.000341","[-0.001594, +0.002277]","0.091403","[-42.7238%, +61.0045%]","0.729781","-","0.001832","0.000000","0.000000"
"dbd_delivery_platform_ios","Dimension","dbd_avg_o2_nd","","mean","0.005337","8,457","0.005905","8,134","0.000560","[-0.00103, +0.002149]","0.104894","[-19.2988%, +40.2776%]","0.490089","-","0.004236","0.000551","0.000002","0.005772","8,171","0.000437","[-0.001119, +0.001993]","0.081937","[-20.9655%, +37.3528%]","0.581808","-","0.004236","0.000422","0.000002"
"dbd_avg_o2_package","Metric","N/A","","mean","0.641875","270,106","0.650987","269,058","0.008935","[+0.006894, +0.010976]","0.013920","[+1.074%, +1.71%]","0.000000","Significant","0.127552","0.001704","0.001149","0.651836","267,673","0.009709","[+0.007664, +0.011754]","0.015126","[+1.194%, +1.8313%]","0.000000","Significant","0.127552","0.001839","0.001240"
"dbd_bundle_type_post_checkout","Dimension","dbd_avg_o2_package","","mean","0.591695","194,828","0.591698","184,768","0.000047","[-0.002525, +0.00262]","0.000080","[-0.4267%, +0.4427%]","0.971185","-","0.093992","0.000007","0.000004","0.592405","184,504","0.000668","[-0.001904, +0.003241]","0.001130","[-0.3218%, +0.5477%]","0.610559","-","0.093992","0.000092","0.000062"
